Name,Note,Type,Main 1,Main 2,Main 3,Main 4,Main 5,Main 6,Cost Package,Usages per main test,Longevity Road Jump,Longevity Road Allowance,Longevity Gravel Jump,Longevity Gravel Allowance,Longevity Road Extreme,Longevity Road Extreme
Silca Hot Melt,,immersive wax,0.003,0.017,0.046,0.08,0.04,0.086,60,0.6,,,,,,
Cyclowax Race Wax,,immersive wax,0,0.0086,0.02,0.026,0.006,0.143,83,2.5,,,,,,
Finish Line Halo hot wax,re-test Jan 25,immersive wax,0.046,0.071,0.006,0.094,0.02,0.16,60,0.6,,,,,,
Mspeedwax,new formula,immersive wax,0,0.011,0.006,0.091,0.011,0.197,60,0.6,,,,,,
Silca + Endurance Chip,Extended lube application intervals,immersive wax,0,0.0286,0.02,0.111,0.043,0.211,105,0.2,,,,,,
Candle wax ,,immersive wax,0.053,0.095,0.055,0.141,0.058,,5,0.6,,,,,,
Optimize Bike Graphene Wax,,immersive wax,0.02,0.057,0.017,0.16,0.069,0.234,110,0.7,,,,,,
Rex Black Diamond Wax - 4+1 Mix,,immersive wax,0.003,0.057,0.009,0.183,0.02,0.28,60,0.6,,,,,,
Silca Hot wax X ,,immersive wax,0,0,0,0.231,0.051,0.32,300,0.8,,,,,,
Tru Tension Tungsten All Weather,,wax drip,0.14,0.1,0.12,0.31,0.18,0.32,25,2,,,,,,
Effetto Mariposa Flower power wax,,wax drip,0.023,0.023,0,0.32,0.114,0.32,29.9,1,,,,,,
Immersive Wax + Wax Drip Combo (Silca),,other,0,0.029,0.029,0.146,0.049,0.34,110,0.4,,,,,,
Rex Black Diamond Wax - 11+1 mix,,immersive wax,0,0.014,0.009,0.046,0.02,0.357,90,0.6,,,,,,
Ceramic Speed Ultra Endurance Wax,,immersive wax,0.0086,0.0057,0.03,0.284,0.2,0.363,87.5,0.6,,,,,,
Session S-wax,,wax drip,0.146,0.057,0.051,0.326,0.266,0.365,50,1,,,,,,
CeramicSpeed UFO Drip, New Formula,wax drip,0.023,0.034,0.006,0.323,0.17,,29.9,2,,,,,,
Ceramic Speed Wet Conditions,,wax drip,0.123,0.16,0.166,0.411,0.237,,29,2,,,,,,
Tru Tension Tungsten Race,Re lube applications doubled,wax drip,0.054,0.02,0.023,0.383,0.3,,25,5,,,,,,
Private Immersive wax (3),,immersive wax,0.006,0.023,0.003,0.317,,,,,,,,,,
Private Immersive wax (2),,immersive wax,0.009,0.011,0.009,0.369,0.057,0.417,,,,,,,,
Private Immersive wax ,,immersive wax,0,0.057,0.003,0.34,,,,,,,,,,
Allied GRAX,,wax drip,0.22,0.183,0.189,0.42,,,30,0.5,,,,,,
Nix Frix Shun,,wet drip,0.126,0.274,0.143,0.274,0.725,,25,0.3,,,,,,
Smoove,,wax drip,0.191,0.174,0.02,0.451,0.343,,25,0.5,,,,,,
Squirt,,wax drip,0.191,0.22,0.18,0.489,,,22,1,,,,,,
Dynamic Wander Wax,,immersive wax,0.069,0.054,0.017,0.3,0.063,0.517,50,0.7,,,,,,
Silca Synergetic,,wet drip,0,0.186,0.243,0.274,0.217,,45,0.3,,,,,,
